CommentID,DetailID,comment,date,rate
019AT8176694,FMEp6w2sD0EA,跟朋友一起和很不错,2021-12-29,5
0Q277KCYZA47,dVIC8CKYNdCr,缓缓新口味,2021-12-29,4
0SP2UDL3NDQX,6NGfxKBQPT82,一个成熟的购物系统应该自己写评论进去,2021-12-29,3
13GIUKHCEO6W,c2Z21Fye13Eu,跟朋友分享,2021-12-29,5
1DAJDSMWSLVY,ZwEHisLsY9gf,蟹黄包还是谢老板家的正宗,2021-12-29,5
1NH0ZX0M8378,PKnpJEy87Jna,比基尼海滩怎么能有这种东西,2021-12-29,3
1O495F5B0KLA,ZI7BWnbE5FmD,评论还能重复写好好玩,2021-12-29,5
1ULWPK7RKCE7,dvkcwSRQEeYe,打卡打卡,2021-12-29,5
3D2IIEEIE88T,9bgG2CsEwtsH,没什么原因就是想给个差评,2021-12-29,3
3N39BD8SVAJ5,2nah3KvxmF0t,一如既往的味道，十分熟悉,2021-12-29,4
3SBC11UVRDMZ,hIJBBrkPL6DA,一天天的就是想吃,2021-12-29,5
4WCCZLVDXQPZ,QXuxsp1dnnU3,解辣解辣,2021-12-30,5
509II79AKTVC,2hLsppi0CZ8W,满满蟹黄，用料十足，爱了爱了,2021-12-29,5
58MK2J4ZDWJL,5kQhdX3nw4O7,还是另一家的好吃一点,2021-12-29,3
625PH27SY0VN,9aSYwP8Pw9vt,人生就华仔写评论上了,2021-12-29,4
6EXDLC8Y3QTW,fSoMV02WQ6cb,好吃就一个字，我只说一次,2021-12-29,5
7YFFLONQSEIM,MfGyJYHc8Zbt,记忆中曾经爱过的味道,2021-12-29,4
8OVLFSQ4QGBQ,0kbxXeohbjO3,夸夸这个大汉堡,2021-12-29,4
8S9V0V5EM1DY,2tMJLJUzlkCK,今天的蟹黄好新鲜,2021-12-29,4
90XCRQPR45UU,diBenlevahx4,海霸海霸海里称霸,2021-12-29,4
953A8F266VKV,8wvPFaedFThL,肉肉香香,2021-12-30,4
96133TRKBOJT,e9FW9TCAI8GI,喝茶茶好冰冰,2021-12-29,4
9BL1AAM9SUVJ,0trzBhxhVou2,虽然要期末考试了。但我还在这写评论,2021-12-29,4
9M21LES8UMYG,3VsHFTTREBMB,多刷刷评论，没办法,2021-12-29,5
9PQX06B454WS,OWY0suPuyiKU,用心写好每一条评论,2021-12-29,5
A33OSBLH90E5,1io0uwrUdfRk,努力让每个汉堡都拥有属于自己的评论,2021-12-29,5
BFQW15QHFL2E,dvkcwSRQEeYe,朋友喜欢是朋友的事,2021-12-29,3
BMOK8QW7DXFW,uI46XfI7v2mS,习惯性好评,2021-12-29,5
C05730VADWOA,dvkcwSRQEeYe,悉哥说写评论发红包，我就写啊写,2021-12-29,4
D7KYX57YT2R5,dvkcwSRQEeYe,犒劳一次啊自己,2021-12-29,5
DIR5I53X5NPW,JxOmPpJZHZkZ,嘶嘶四好辣,2021-12-30,5
E6EJBK4JWS3Y,dvkcwSRQEeYe,老儿北儿京儿的儿味儿,2021-12-29,5
EM0PQB60ND4Y,0kbxXeohbjO3,我是评论滚机器人,2021-12-29,4
FXTPAJ04MG7K,TBy4hvKkuvZ8,酸酸甜甜,2021-12-29,5
G33LCL3FCMS7,dXrN0JSRjCyd,蟹黄堡和蟹黄汤包有什么区别呢,2021-12-29,5
G8394JO1FGH9,dvkcwSRQEeYe,名不虚传啊,2021-12-29,5
G9R9VI6KGGA6,A5gMC5AlBmQE,湖北人还是吃点辣的香,2021-12-29,4
GUXRQ2EWGCEK,Z7q0Ia59CJh4,常常新的,2021-12-29,5
HBI33AXPI78P,POZdZA0yGtFL,全比基尼海滩仅此一家,2021-12-29,5
HHMOZOWW5CI3,k3VlUZCUkBFh,换换口味,2021-12-29,5
ID02OGRA7B9Q,aJsweLuY1ryI,老味道好熟悉,2021-12-29,5
IO2FXE5GWE9A,aYAvEbH1GxEM,好想吃鳕鱼堡,2021-12-29,4
IQ7XZ0EFOPIY,2eYKMfa2HaF2,今天怎么突然好吃了,2021-12-29,5
J28GCXVU4LQU,dvkcwSRQEeYe,请朋友一起吃,2021-12-29,4
JL5V4IXINMO0,0kbxXeohbjO3,非常好吃！非常好吃！！,2021-12-30,5
JOOY4YRYJI9F,aqec9cel5cIS,吃的有点腻了,2021-12-29,3
