DetailID,OrderID,ProductID,unitprice,quantity
0jKqH5topszq,sS5XP10LHtVN,000000000053,16,2
0kbxXeohbjO3,ObNVN9qz93W8,000000000007,16,2
0trzBhxhVou2,QtJDGROk6hEx,000000000031,3,1
1io0uwrUdfRk,VZiMUDKFczxU,000000000003,17,3
2eYKMfa2HaF2,8ryJGhpo9TZy,000000000001,18,1
2hLsppi0CZ8W,IJDPfyk1EQrN,000000000002,19,1
2j4viYxSNyF8,iLEsbJ564UjM,000000000026,12,1
2nah3KvxmF0t,rpkWxBpfvVjg,000000000001,18,12
2tMJLJUzlkCK,K6suDQ5HnyRd,000000000003,17,1
2YyQGkf33gAx,DA2hA2cwvOmA,000000000023,18.5,2
3H0DdlffAEve,XEuqqJCti7Kv,000000000004,19,2
3SHUL1WKZl0N,YYbiLaFEoK3A,000000000001,18,4
3VdnhrNmetIR,LpTlEvSB4Lgi,000000000014,20,1
3VsHFTTREBMB,uBgX8D6PN4qS,000000000004,19,2
4dpxyCuNQrFP,sR0soUTsllF0,000000000025,11,1
4JVHkafqcFUI,caiA1XalM4N9,000000000043,2,2
5kQhdX3nw4O7,Mbev3lrYRZ7I,000000000002,19,1
5Tt2P9hc9a7T,efKA7e3Gk8YS,000000000004,19,1
6NGfxKBQPT82,f50DwZXqCek4,000000000016,19,5
6w4manbjDQYi,mPNuLlLFJzl5,000000000001,18,1
74ZBld71MTN9,aAeJZtYjJ2wy,000000000020,19,1
7q4kqAFwGOaZ,CIsTAM5qUGDA,000000000002,19,1
8wvPFaedFThL,1FyPR0TOQBwn,000000000071,11,2
9aSYwP8Pw9vt,oUOwpKrIDEYh,000000000009,17,3
9bgG2CsEwtsH,skqLs4dhJtHJ,000000000013,20,3
9jaGyaRNNzPY,4hhcu2pbvSlm,000000000002,19,1
9qdazV6jSEym,co1FuLnG0ttY,000000000010,17,1
9TbteSan495M,GqFXJgosTBX4,000000000011,16,2
A5gMC5AlBmQE,8Gli1W2OzTpL,000000000058,14,2
aJsweLuY1ryI,xWqgegm5Ajcx,000000000014,20,1
alfifEFZWSMk,MuWUP0XQBoco,000000000001,18,1
aqec9cel5cIS,QapQo9IMTUoJ,000000000013,20,3
aYAvEbH1GxEM,qpMPoFl8D0At,000000000019,18,1
BIaEP5WSOjaJ,8ryJGhpo9TZy,000000000019,18,1
BSJtzNVKSATE,ObNVN9qz93W8,000000000001,18,1
c2Z21Fye13Eu,ngcjYwGsMhof,000000000009,17,3
C3yB2pSWKniX,0DyxfRmhRh8q,000000000004,19,1
cAEst04C9PC9,QJOQnxOJqPRG,000000000008,15,2
CBWwLou6KK0r,ySFpWOntetg7,000000000004,19,2
cPEqeHzuV7uu,fuRbrX0qo2qr,000000000001,18,1
CsV5Ob4Pm0Xi,d0EdUgVHmUnr,000000000005,17,2
diBenlevahx4,z1eVlztPu02G,000000000013,20,12
DKaaRfqIWzuy,eFyGV5Wg7aqf,000000000004,19,2
dVIC8CKYNdCr,DfxNWjY6g2kO,000000000020,19,1
dvkcwSRQEeYe,2ePrdZLGRMNH,000000000007,16,5
dXrN0JSRjCyd,qDpbBMhDNd0f,000000000003,17,1
e9FW9TCAI8GI,Zi2Bndgz6U25,000000000041,2.5,2
EDyraRKD8zde,KKpYoMKpl5tF,000000000006,20,3
Ee4DZ3fKUVkx,D3c1I6rNCD0l,000000000002,19,4
EFQV7cU4baBR,L7QglYmZuCFr,000000000024,19.9,1
erHqcrOQP9py,xMaeivi2N2mU,000000000027,10,2
EuBC2BX7H9Ja,CIsTAM5qUGDA,000000000020,19,1
eUu83K5RSiEc,GTQx4VVOZugU,000000000009,17,3
F0Q0QPgX9UEQ,ObNVN9qz93W8,000000000019,18,1
f91OPCT3CLhT,D3c1I6rNCD0l,000000000002,19,4
FMEp6w2sD0EA,Zi2Bndgz6U25,000000000032,4,2
fSoMV02WQ6cb,I2xNdM6vqlEh,000000000020,19,1
FuIRu8o20Ppo,dJGEn4Mx8A7K,000000000006,20,3
GjYNXYd5pKx4,nWhj55J1jmvQ,000000000004,19,1
gkBMHEVtI1hX,f50DwZXqCek4,000000000010,17,1
GlZXUqvM4plG,n4uyKqOU734L,000000000034,3.5,4
GRkAcctmL3cP,VcoVLtyXrJxs,000000000015,18,1
GYC4sIEtg00L,8Gli1W2OzTpL,000000000049,15,1
hiCFK8Vts9kz,8KPTFZOnyVSB,000000000001,18,2
hIJBBrkPL6DA,dzrCmuJ0BBwj,000000000006,20,5
i1XlfNTPai5i,x446L2iD5CW2,000000000004,19,1
iJhPfVKk7M1H,eeqooykxo3DA,000000000004,19,2
Im4Th4uAoMgq,viAHInQni4Iy,000000000002,19,1
INRVHo5GKvyg,KsSaOvmaKddd,000000000020,19,1
ioDWujAEfgz9,teKi5Ath0gEX,000000000012,18,5
ivqRxHbsU7US,K5YvTvuPwYiH,000000000001,18,1
ix7Q5cSlfPmF,KHxtZIzzCZ4U,000000000001,18,1
j19V5OLEcOVy,NJ98xrg7MfNo,000000000019,18,1
