ProductID,BusinessID,TypeID,name,unitprice,introduction,inventory,image
000000000001,00000001,hi1234567890,蟹黄堡,18,蟹黄+小麦面包,120,"<a href=""https://sm.ms/image/WwkBfuA1FlenzRG"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/WwkBfuA1FlenzRG.png"" ></a>"
000000000002,00000002,hi1234567890,蟹黄堡,19,香,199,"<a href=""https://sm.ms/image/WwkBfuA1FlenzRG"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/WwkBfuA1FlenzRG.png"" ></a>"
000000000003,00000003,hi1234567890,蟹黄堡,17,赞,93,"<a href=""https://sm.ms/image/WwkBfuA1FlenzRG"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/WwkBfuA1FlenzRG.png"" ></a>"
000000000004,00000004,hi1234567890,蟹黄堡,19,爱了爱了,5,"<a href=""https://sm.ms/image/WwkBfuA1FlenzRG"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/WwkBfuA1FlenzRG.png"" ></a>"
000000000005,00000007,hi1234567890,蟹黄堡,17,来吃,1,"<a href=""https://sm.ms/image/WwkBfuA1FlenzRG"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/WwkBfuA1FlenzRG.png"" ></a>"
000000000006,00000010,hi1234567890,蟹黄堡,20,正宗,54,"<a href=""https://sm.ms/image/WwkBfuA1FlenzRG"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/WwkBfuA1FlenzRG.png"" ></a>"
000000000007,00000001,hi1234567890,奥尔良烤鸡腿堡,16,绝绝子,93,"<a href=""https://sm.ms/image/reFA3goYy9aDz4t"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/reFA3goYy9aDz4t.png"" ></a>"
000000000008,00000002,hi1234567890,奥尔良烤鸡腿堡,15,香喷喷,81,"<a href=""https://sm.ms/image/reFA3goYy9aDz4t"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/reFA3goYy9aDz4t.png"" ></a>"
000000000009,00000003,hi1234567890,奥尔良烤鸡腿堡,17,妙啊,90,"<a href=""https://sm.ms/image/reFA3goYy9aDz4t"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/reFA3goYy9aDz4t.png"" ></a>"
000000000010,00000004,hi1234567890,奥尔良烤鸡腿堡,17,吃不胖,7,"<a href=""https://sm.ms/image/reFA3goYy9aDz4t"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/reFA3goYy9aDz4t.png"" ></a>"
000000000011,00000007,hi1234567890,奥尔良烤鸡腿堡,16,超正宗,7,"<a href=""https://sm.ms/image/reFA3goYy9aDz4t"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/reFA3goYy9aDz4t.png"" ></a>"
000000000012,00000010,hi1234567890,奥尔良烤鸡腿堡,18,独一份,178,"<a href=""https://sm.ms/image/reFA3goYy9aDz4t"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/reFA3goYy9aDz4t.png"" ></a>"
000000000013,00000001,hi1234567890,海霸堡,20,痞老板最爱,184,"<a href=""https://sm.ms/image/Dd68OMa3Ebof4Il"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/Dd68OMa3Ebof4Il.png"" ></a>"
000000000014,00000002,hi1234567890,海霸堡,20,独家秘方,98,"<a href=""https://sm.ms/image/Dd68OMa3Ebof4Il"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/Dd68OMa3Ebof4Il.png"" ></a>"
000000000015,00000003,hi1234567890,海霸堡,18,吃过不忘,0,"<a href=""https://sm.ms/image/Dd68OMa3Ebof4Il"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/Dd68OMa3Ebof4Il.png"" ></a>"
000000000016,00000004,hi1234567890,海霸堡,19,美味,187,"<a href=""https://sm.ms/image/Dd68OMa3Ebof4Il"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/Dd68OMa3Ebof4Il.png"" ></a>"
000000000017,00000007,hi1234567890,海霸堡,19,妙啊,10,"<a href=""https://sm.ms/image/Dd68OMa3Ebof4Il"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/Dd68OMa3Ebof4Il.png"" ></a>"
000000000018,00000010,hi1234567890,海霸堡,17,赞,17,"<a href=""https://sm.ms/image/Dd68OMa3Ebof4Il"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/Dd68OMa3Ebof4Il.png"" ></a>"
000000000019,00000001,hi1234567890,深海鳕鱼堡,18,赞,0,"<a href=""https://sm.ms/image/kTWSnbKzOQRc7sl"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/kTWSnbKzOQRc7sl.png"" ></a>"
